"","Region name","School status","Schools details"
"1","City Of Airdrie","Watch","Coopers Crossing School"
"2","City Of Calgary","Watch","St. Wilfrid Elementary School"
"3","City Of Calgary","Watch","Clarence Sansom School"
"4","City Of Calgary","Watch","Nelson Mandela High School"
"5","City Of Calgary","Watch","Canyon Meadows School"
"6","City Of Edmonton","Watch","Archbishop O'Leary"
"7","City Of Edmonton","Watch","Centre High"
"8","City Of Edmonton","Watch","Ross Sheppard High School"
"9","City Of Edmonton","Watch","Vimy Ridge"
"10","City Of Edmonton","Watch","Highlands School"
"11","City Of Edmonton","Watch","Austin O'Brien"
"12","City Of Edmonton","Watch","Harry Ainlay School"
"13","City Of Edmonton","Watch","Queen Elizabeth School"
"14","City Of Edmonton","Watch","Edmonton Islamic Academy"
"15","City Of Calgary","Open (Outbreak, 2-4 cases)","Lester B. Pearson High School"
"16","City Of Calgary","Open (Outbreak, 2-4 cases)","Crescent Heights High School"
"17","City Of Calgary","Open (Outbreak, 2-4 cases)","Chris Akkerman School"
"18","City Of Calgary","Open (Outbreak, 2-4 cases)","Saddle Ridge School"
"19","City Of Calgary","Open (Outbreak, 2-4 cases)","Apostles of Jesus"
"20","City Of Calgary","Open (Outbreak, 2-4 cases)","Glenmeadows School"
"21","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Benedict School"
"22","City Of Calgary","Open (Outbreak, 2-4 cases)","Monsignor E. L. Doyle Elementary School"
"23","City Of Calgary","Open (Outbreak, 2-4 cases)","Vista Heights School"
"24","City Of Calgary","Open (Outbreak, 2-4 cases)","Monterey Park School"
"25","City Of Calgary","Open (Outbreak, 2-4 cases)","Our Lady of the Assumption School"
"26","City Of Calgary","Open (Outbreak, 2-4 cases)","King George School"
"27","City Of Calgary","Open (Outbreak, 2-4 cases)","Ecole de la Rose Sauvage"
"28","City Of Calgary","Open (Outbreak, 2-4 cases)","John G Diefenbaker High School"
"29","City Of Edmonton","Open (Outbreak, 2-4 cases)","Northmount School"
"30","City Of Edmonton","Open (Outbreak, 2-4 cases)","Holy Trinity"
"31","City Of Edmonton","Open (Outbreak, 2-4 cases)","Parkview School"
"32","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Oscar Romero Catholic High School"
"33","City Of Edmonton","Open (Outbreak, 2-4 cases)","Lillian Osborne High School"
"34","City Of Edmonton","Open (Outbreak, 2-4 cases)","McNally School"
"35","City Of Edmonton","Open (Outbreak, 2-4 cases)","Ecole Pere-Lacombe"
"36","City Of Edmonton","Open (Outbreak, 2-4 cases)","Waverley School"
"37","City Of Edmonton","Open (Outbreak, 2-4 cases)","Cardinal Collins High School Academic Centre"
"38","City Of Edmonton","Open (Outbreak, 2-4 cases)","Millwoods Christian School"
"39","City Of Edmonton","Open (Outbreak, 2-4 cases)","H. E. Beriault"
"40","City Of Edmonton","Open (Outbreak, 2-4 cases)","Riverbend School"
"41","City Of Edmonton","Open (Outbreak, 2-4 cases)","Christ the King School"
"42","City Of Edmonton","Open (Outbreak, 2-4 cases)","Oliver School"
"43","City Of Edmonton","Open (Outbreak, 2-4 cases)","Kirkness School"
"44","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Matthew"
"45","City Of Edmonton","Open (Outbreak, 2-4 cases)","Aldergrove School"
"46","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Brendan School"
"47","City Of Edmonton","Open (Outbreak, 2-4 cases)","Dr. Donald Massey School"
"48","City Of Edmonton","Open (Outbreak, 2-4 cases)","Bishop Savaryn"
"49","City Of Edmonton","Open (Outbreak, 2-4 cases)","Louis St. Laurent"
"50","City Of Edmonton","Open (Outbreak, 2-4 cases)","J Percy Page School"
"51","City Of Edmonton","Open (Outbreak, 2-4 cases)","Archbishop MacDonald"
"52","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Vladimir Elementary School"
"53","City Of Edmonton","Open (Outbreak, 2-4 cases)","Soraya Hafez School"
"54","City Of Edmonton","Open (Outbreak, 2-4 cases)","AlBaqir Academy"
"55","City Of Edmonton","Open (Outbreak, 2-4 cases)","Jasper Place School"
"56","City Of Edmonton","Open (Outbreak, 2-4 cases)","Michael Strembitsky School"
"57","City Of Edmonton","Open (Outbreak, 2-4 cases)","Dickinsfield School"
"58","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Maria Goretti"
"59","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. John Bosco"
"60","City Of Edmonton","Open (Outbreak, 2-4 cases)","Thomas More Academy"
"61","City Of Edmonton","Open (Outbreak, 2-4 cases)","Norwood School"
"62","City Of St. Albert","Open (Outbreak, 2-4 cases)","Richard S Fowler Catholic Junior High School"
"63","Municipal District Of Peace No. 135","Open (Outbreak, 2-4 cases)","Springfield Elementary School"
"64","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","St. Gabriel School"
"65","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","Sister Mary Phillps Elementary School"
"66","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","Holy Trinity High School"
"67","Regional Municipality Of Wood Buffalo","Open (Outbreak, 2-4 cases)","Elsie Yanik Catholic School"
"68","Town Of Cochrane","Open (Outbreak, 2-4 cases)","RancheView School"
"69","Town Of Okotoks","Open (Outbreak, 2-4 cases)","Foothills Composite High School"
"70","Athabasca County","Open","No school status to report"
"71","Beaver County","Open","No school status to report"
"72","Big Lakes County","Open","No school status to report"
"73","Birch Hills County","Open","No school status to report"
"74","Brazeau County","Open","No school status to report"
"75","Camrose County","Open","No school status to report"
"76","Cardston County","Open","No school status to report"
"77","City Of Beaumont","Open","No school status to report"
"78","City Of Brooks","Open","No school status to report"
"79","City Of Camrose","Open","No school status to report"
"80","City Of Chestermere","Open","No school status to report"
"81","City Of Cold Lake","Open","No school status to report"
"82","City Of Fort Saskatchewan","Open","No school status to report"
"83","City Of Grande Prairie","Open","No school status to report"
"84","City Of Lacombe","Open","No school status to report"
"85","City Of Leduc","Open","No school status to report"
"86","City Of Lethbridge","Open","No school status to report"
"87","City Of Lloydminster","Open","No school status to report"
"88","City Of Medicine Hat","Open","No school status to report"
"89","City Of Red Deer","Open","No school status to report"
"90","City Of Spruce Grove","Open","No school status to report"
"91","City Of Wetaskiwin","Open","No school status to report"
"92","Clear Hills County","Open","No school status to report"
"93","Clearwater County","Open","No school status to report"
"94","County Of Barrhead No. 11","Open","No school status to report"
"95","County Of Forty Mile No. 8","Open","No school status to report"
"96","County Of Grande Prairie No. 1","Open","No school status to report"
"97","County Of Minburn No. 27","Open","No school status to report"
"98","County Of Newell","Open","No school status to report"
"99","County Of Northern Lights","Open","No school status to report"
"100","County Of Paintearth No. 18","Open","No school status to report"
"101","County Of St. Paul No. 19","Open","No school status to report"
"102","County Of Stettler No. 6","Open","No school status to report"
"103","County Of Two Hills No. 21","Open","No school status to report"
"104","County Of Vermilion River","Open","No school status to report"
"105","County Of Warner No. 5","Open","No school status to report"
"106","County Of Wetaskiwin No. 10","Open","No school status to report"
"107","Cypress County","Open","No school status to report"
"108","Flagstaff County","Open","No school status to report"
"109","Foothills County","Open","No school status to report"
"110","I.d. No. 12 (Jasper National Park)","Open","No schools listed in this geography."
"111","I.d. No. 13 (Elk Island)","Open","No schools listed in this geography."
"112","I.d. No. 24 (Wood Buffalo)","Open","No school status to report"
