"","Region name","School status","Schools details"
"1","City Of Airdrie","Watch","Coopers Crossing School"
"2","City Of Calgary","Watch","Lester B. Pearson High School"
"3","City Of Calgary","Watch","Nelson Mandela High School"
"4","City Of Calgary","Watch","Canyon Meadows School"
"5","City Of Calgary","Watch","Ecole de la Rose Sauvage"
"6","City Of Calgary","Watch","John G Diefenbaker High School"
"7","City Of Calgary","Watch","Calgary French & International School"
"8","City Of Calgary","Watch","St. Francis High School"
"9","City Of Calgary","Watch","Bishop McNally High School"
"10","City Of Calgary","Watch","New Heights School and Learning Services"
"11","City Of Calgary","Watch","Sir Winston Churchill High School"
"12","City Of Edmonton","Watch","Archbishop O'Leary"
"13","City Of Edmonton","Watch","Centre High"
"14","City Of Edmonton","Watch","Ross Sheppard High School"
"15","City Of Edmonton","Watch","St. Oscar Romero Catholic High School"
"16","City Of Edmonton","Watch","McNally School"
"17","City Of Edmonton","Watch","Vimy Ridge"
"18","City Of Edmonton","Watch","Highlands School"
"19","City Of Edmonton","Watch","Cardinal Collins High School Academic Centre"
"20","City Of Edmonton","Watch","Harry Ainlay School"
"21","City Of Edmonton","Watch","Queen Elizabeth School"
"22","City Of Edmonton","Watch","Dr. Donald Massey School"
"23","City Of Edmonton","Watch","Louis St. Laurent"
"24","City Of Edmonton","Watch","St. Joseph"
"25","City Of Edmonton","Watch","Edmonton Islamic Academy"
"26","City Of Edmonton","Watch","Jasper Place School"
"27","City Of Edmonton","Watch","M. E. LaZerte School"
"28","City Of Edmonton","Watch","Headway School Society of Alberta"
"29","City Of Edmonton","Watch","Aurora School"
"30","City Of Edmonton","Watch","Steinhauer School"
"31","City Of Edmonton","Watch","St. Francis Xavier"
"32","City Of Edmonton","Watch","Tipaskan School"
"33","City Of Edmonton","Watch","St. Bernadette"
"34","City Of Edmonton","Watch","Kate Chegwin School"
"35","City Of Edmonton","Watch","Michael A Kostek Elementary School"
"36","City Of Edmonton","Watch","St. Thomas Aquinas School"
"37","City Of Red Deer","Watch","Hunting Hills High School"
"38","City Of St. Albert","Watch","Richard S Fowler Catholic Junior High School"
"39","City Of St. Albert","Watch","Elmer S Gish School"
"40","City Of St. Albert","Watch","St. Albert Catholic High School"
"41","Rocky View County","Watch","Khalsa School Calgary Educational Foundation"
"42","Strathcona County","Watch","Bev Facey Community High School"
"43","Strathcona County","Watch","Lakeland Ridge School"
"44","Town Of Cochrane","Watch","RancheView School"
"45","Westlock County","Watch","Richard F Staples Secondary School"
"46","City Of Airdrie","Open (Outbreak, 2-4 cases)","Northcott Prairie School"
"47","City Of Calgary","Open (Outbreak, 2-4 cases)","Central Memorial High School"
"48","City Of Calgary","Open (Outbreak, 2-4 cases)","Rundle School"
"49","City Of Calgary","Open (Outbreak, 2-4 cases)","Father Lacombe School"
"50","City Of Calgary","Open (Outbreak, 2-4 cases)","Connaught School"
"51","City Of Calgary","Open (Outbreak, 2-4 cases)","Janus Academy"
"52","City Of Calgary","Open (Outbreak, 2-4 cases)","Chief Justice Milvain School"
"53","City Of Calgary","Open (Outbreak, 2-4 cases)","Coventry Hills School"
"54","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Mary's High School"
"55","City Of Calgary","Open (Outbreak, 2-4 cases)","All Saints School"
"56","City Of Calgary","Open (Outbreak, 2-4 cases)","Northeast Elementary Campus"
"57","City Of Calgary","Open (Outbreak, 2-4 cases)","Western Canada High School"
"58","City Of Calgary","Open (Outbreak, 2-4 cases)","Manmeet Singh Bhullar School"
"59","City Of Calgary","Open (Outbreak, 2-4 cases)","Chinook Learning Services"
"60","City Of Calgary","Open (Outbreak, 2-4 cases)","Alex Ferguson School"
"61","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Sebastian Elementary School"
"62","City Of Calgary","Open (Outbreak, 2-4 cases)","Bishop Grandin High School"
"63","City Of Calgary","Open (Outbreak, 2-4 cases)","Panorama Hills School"
"64","City Of Calgary","Open (Outbreak, 2-4 cases)","Catherine Nichols Gunn School"
"65","City Of Chestermere","Open (Outbreak, 2-4 cases)","Chestermere Lake Middle School"
"66","City Of Edmonton","Open (Outbreak, 2-4 cases)","Holy Trinity"
"67","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Brendan School"
"68","City Of Edmonton","Open (Outbreak, 2-4 cases)","Calder School"
"69","City Of Edmonton","Open (Outbreak, 2-4 cases)","J Percy Page School"
"70","City Of Edmonton","Open (Outbreak, 2-4 cases)","Soraya Hafez School"
"71","City Of Edmonton","Open (Outbreak, 2-4 cases)","Evansdale School"
"72","City Of Edmonton","Open (Outbreak, 2-4 cases)","Michael Strembitsky School"
"73","City Of Edmonton","Open (Outbreak, 2-4 cases)","Dickinsfield School"
"74","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. John Bosco"
"75","City Of Edmonton","Open (Outbreak, 2-4 cases)","Victoria School"
"76","City Of Edmonton","Open (Outbreak, 2-4 cases)","Londonderry School"
"77","City Of Edmonton","Open (Outbreak, 2-4 cases)","Scott Robertson School"
"78","City Of Edmonton","Open (Outbreak, 2-4 cases)","Norwood School"
"79","City Of Edmonton","Open (Outbreak, 2-4 cases)","Eastglen School"
"80","City Of Edmonton","Open (Outbreak, 2-4 cases)","L Y Cairns School"
"81","City Of Edmonton","Open (Outbreak, 2-4 cases)","Vernon Barford School"
"82","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Nicholas"
"83","City Of Edmonton","Open (Outbreak, 2-4 cases)","Glengarry School"
"84","City Of Edmonton","Open (Outbreak, 2-4 cases)","John A. McDougall School"
"85","City Of Edmonton","Open (Outbreak, 2-4 cases)","Al-Mustafa Academy"
"86","City Of Edmonton","Open (Outbreak, 2-4 cases)","Dunluce School"
"87","City Of Edmonton","Open (Outbreak, 2-4 cases)","Sir John Thompson"
"88","City Of Edmonton","Open (Outbreak, 2-4 cases)","Lago Lindo School"
"89","City Of Edmonton","Open (Outbreak, 2-4 cases)","J. J. Bowlen"
"90","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Clement"
"91","City Of Edmonton","Open (Outbreak, 2-4 cases)","John D Bracco School"
"92","City Of Grande Prairie","Open (Outbreak, 2-4 cases)","Riverstone Public School"
"93","City Of Leduc","Open (Outbreak, 2-4 cases)","Christ the King School"
"94","City Of Lethbridge","Open (Outbreak, 2-4 cases)","St. Teresa of Calcutta School"
"95","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Ecole La Verendrye"
"96","City Of Lethbridge","Open (Outbreak, 2-4 cases)","St. Francis Junior High School"
"97","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Ecole St. Mary School"
"98","City Of Spruce Grove","Open (Outbreak, 2-4 cases)","Prescott Learning Centre"
"99","City Of Spruce Grove","Open (Outbreak, 2-4 cases)","Copperhaven School"
"100","City Of St. Albert","Open (Outbreak, 2-4 cases)","Ecole La Mission"
"101","City Of St. Albert","Open (Outbreak, 2-4 cases)","Bellerose Composite High School"
"102","Kneehill County","Open (Outbreak, 2-4 cases)","Trochu Valley School"
"103","Municipal District Of Taber","Open (Outbreak, 2-4 cases)","W. R. Myers High School"
"104","Municipality Of Jasper","Open (Outbreak, 2-4 cases)","Jasper Junior Senior High School"
"105","Ponoka County","Open (Outbreak, 2-4 cases)","Ponoka Secondary Campus"
"106","Strathcona County","Open (Outbreak, 2-4 cases)","Mills Haven Elementary School"
"107","Strathcona County","Open (Outbreak, 2-4 cases)","Salisbury Composite High School"
"108","Strathcona County","Open (Outbreak, 2-4 cases)","Holy Spirit Catholic School"
"109","Strathcona County","Open (Outbreak, 2-4 cases)","St. Theresa Catholic School"
"110","Town Of Morinville","Open (Outbreak, 2-4 cases)","Four Winds Public School"
"111","Westlock County","Open (Outbreak, 2-4 cases)","Westlock Elementary School"
"112","Athabasca County","Open","No school status to report"
"113","Beaver County","Open","No school status to report"
"114","Big Lakes County","Open","No school status to report"
"115","Birch Hills County","Open","No school status to report"
"116","Brazeau County","Open","No school status to report"
"117","Camrose County","Open","No school status to report"
"118","Cardston County","Open","No school status to report"
"119","City Of Beaumont","Open","No school status to report"
"120","City Of Brooks","Open","No school status to report"
"121","City Of Camrose","Open","No school status to report"
"122","City Of Cold Lake","Open","No school status to report"
"123","City Of Fort Saskatchewan","Open","No school status to report"
"124","City Of Lacombe","Open","No school status to report"
"125","City Of Lloydminster","Open","No school status to report"
"126","City Of Medicine Hat","Open","No school status to report"
"127","City Of Wetaskiwin","Open","No school status to report"
"128","Clear Hills County","Open","No school status to report"
"129","Clearwater County","Open","No school status to report"
"130","County Of Barrhead No. 11","Open","No school status to report"
"131","County Of Forty Mile No. 8","Open","No school status to report"
"132","County Of Grande Prairie No. 1","Open","No school status to report"
"133","County Of Minburn No. 27","Open","No school status to report"
"134","County Of Newell","Open","No school status to report"
"135","County Of Northern Lights","Open","No school status to report"
"136","County Of Paintearth No. 18","Open","No school status to report"
"137","County Of St. Paul No. 19","Open","No school status to report"
"138","County Of Stettler No. 6","Open","No school status to report"
"139","County Of Two Hills No. 21","Open","No school status to report"
"140","County Of Vermilion River","Open","No school status to report"
"141","County Of Warner No. 5","Open","No school status to report"
"142","County Of Wetaskiwin No. 10","Open","No school status to report"
"143","Cypress County","Open","No school status to report"
"144","Flagstaff County","Open","No school status to report"
"145","Foothills County","Open","No school status to report"
"146","I.d. No. 12 (Jasper National Park)","Open","No schools listed in this geography."
"147","I.d. No. 13 (Elk Island)","Open","No schools listed in this geography."
"148","I.d. No. 24 (Wood Buffalo)","Open","No school status to report"
"149","I.d. No. 25 (Willmore Wilderness)","Open","No schools listed in this geography."
"150","I.d. No. 349","Open","No schools listed in this geography."
"151","I.d. No. 4 (Waterton)","Open","No schools listed in this geography."
"152","I.d. No. 9 (Banff)","Open","No school status to report"
"153","Kananaskis Improvement District","Open","No schools listed in this geography."
"154","Lac La Biche County","Open","No school status to report"
"155","Lac Ste. Anne County","Open","No school status to report"
"156","Lacombe County","Open","No school status to report"
"157","Lamont County","Open","No school status to report"
"158","Leduc County","Open","No school status to report"
"159","Lethbridge County","Open","No school status to report"
"160","Mackenzie County","Open","No school status to report"
"161","Mountain View County","Open","No school status to report"
"162","Municipal District Of Acadia No. 34","Open","No school status to report"
"163","Municipal District Of Bighorn No. 8","Open","No school status to report"
"164","Municipal District Of Bonnyville No. 87","Open","No school status to report"
"165","Municipal District Of Fairview No. 136","Open","No school status to report"
"166","Municipal District Of Greenview No. 16","Open","No school status to report"
"167","Municipal District Of Lesser Slave River No. 124","Open","No school status to report"
"168","Municipal District Of Opportunity No. 17","Open","No school status to report"
"169","Municipal District Of Peace No. 135","Open","No school status to report"
"170","Municipal District Of Pincher Creek No. 9","Open","No school status to report"
"171","Municipal District Of Provost No. 52","Open","No school status to report"
"172","Municipal District Of Ranchland No. 66","Open","No schools listed in this geography."
"173","Municipal District Of Smoky River No. 130","Open","No school status to report"
"174","Municipal District Of Spirit River No. 133","Open","No school status to report"
"175","Municipal District Of Wainwright No. 61","Open","No school status to report"
"176","Municipal District Of Willow Creek No. 26","Open","No school status to report"
"177","Municipality Of Crowsnest Pass","Open","No school status to report"
"178","Northern Sunrise County","Open","No school status to report"
"179","Parkland County","Open","No school status to report"
"180","Red Deer County","Open","No school status to report"
"181","Regional Municipality Of Wood Buffalo","Open","No school status to report"
"182","Saddle Hills County","Open","No school status to report"
"183","Smoky Lake County","Open","No school status to report"
"184","Special Areas No. 2","Open","No school status to report"
"185","Special Areas No. 3","Open","No school status to report"
"186","Special Areas No. 4","Open","No school status to report"
"187","Starland County","Open","No school status to report"
"188","Sturgeon County","Open","No school status to report"
"189","Thorhild County","Open","No school status to report"
"190","Town Of Canmore","Open","No school status to report"
"191","Town Of Drumheller","Open","No school status to report"
"192","Town Of High River","Open","No school status to report"
"193","Town Of Hinton","Open","No school status to report"
"194","Town Of Okotoks","Open","No school status to report"
"195","Town Of Olds","Open","No school status to report"
"196","Town Of Stony Plain","Open","No school status to report"
"197","Town Of Strathmore","Open","No school status to report"
"198","Town Of Sylvan Lake","Open","No school status to report"
"199","Town Of Whitecourt","Open","No school status to report"
"200","Vulcan County","Open","No school status to report"
"201","Wheatland County","Open","No school status to report"
"202","Woodlands County","Open","No school status to report"
"203","Yellowhead County","Open","No school status to report"
