"","Region name","School status","Schools details"
"1","City Of Brooks","Watch","Eastbrook Elementary School"
"2","City Of Calgary","Watch","Lester B. Pearson High School"
"3","City Of Calgary","Watch","Nelson Mandela High School"
"4","City Of Calgary","Watch","Canyon Meadows School"
"5","City Of Calgary","Watch","Ecole de la Rose Sauvage"
"6","City Of Calgary","Watch","John G Diefenbaker High School"
"7","City Of Calgary","Watch","Father Lacombe School"
"8","City Of Calgary","Watch","Calgary French & International School"
"9","City Of Calgary","Watch","St. Francis High School"
"10","City Of Calgary","Watch","Bishop McNally High School"
"11","City Of Calgary","Watch","New Heights School and Learning Services"
"12","City Of Calgary","Watch","All Saints School"
"13","City Of Calgary","Watch","Northeast Elementary Campus"
"14","City Of Calgary","Watch","Sir Winston Churchill High School"
"15","City Of Calgary","Watch","Western Canada High School"
"16","City Of Calgary","Watch","Manmeet Singh Bhullar School"
"17","City Of Calgary","Watch","Bishop O'Byrne High School"
"18","City Of Calgary","Watch","Henry Wise Wood High School"
"19","City Of Chestermere","Watch","Chestermere Lake Middle School"
"20","City Of Edmonton","Watch","Archbishop O'Leary"
"21","City Of Edmonton","Watch","Centre High"
"22","City Of Edmonton","Watch","Ross Sheppard High School"
"23","City Of Edmonton","Watch","McNally School"
"24","City Of Edmonton","Watch","Cardinal Collins High School Academic Centre"
"25","City Of Edmonton","Watch","Austin O'Brien"
"26","City Of Edmonton","Watch","Harry Ainlay School"
"27","City Of Edmonton","Watch","St. Matthew"
"28","City Of Edmonton","Watch","Queen Elizabeth School"
"29","City Of Edmonton","Watch","Dr. Donald Massey School"
"30","City Of Edmonton","Watch","Louis St. Laurent"
"31","City Of Edmonton","Watch","St. Joseph"
"32","City Of Edmonton","Watch","Edmonton Islamic Academy"
"33","City Of Edmonton","Watch","Evansdale School"
"34","City Of Edmonton","Watch","Jasper Place School"
"35","City Of Edmonton","Watch","M. E. LaZerte School"
"36","City Of Edmonton","Watch","Londonderry School"
"37","City Of Edmonton","Watch","Headway School Society of Alberta"
"38","City Of Edmonton","Watch","Aurora School"
"39","City Of Edmonton","Watch","Steinhauer School"
"40","City Of Edmonton","Watch","St. Francis Xavier"
"41","City Of Edmonton","Watch","Tipaskan School"
"42","City Of Edmonton","Watch","L Y Cairns School"
"43","City Of Edmonton","Watch","St. Bernadette"
"44","City Of Edmonton","Watch","Kate Chegwin School"
"45","City Of Edmonton","Watch","Glengarry School"
"46","City Of Edmonton","Watch","Michael A Kostek Elementary School"
"47","City Of Edmonton","Watch","Lago Lindo School"
"48","City Of Edmonton","Watch","St. Thomas Aquinas School"
"49","City Of Lethbridge","Watch","Winston Churchill High School"
"50","City Of St. Albert","Watch","Richard S Fowler Catholic Junior High School"
"51","City Of St. Albert","Watch","Elmer S Gish School"
"52","City Of St. Albert","Watch","St. Albert Catholic High School"
"53","Municipal District Of Taber","Watch","W. R. Myers High School"
"54","Rocky View County","Watch","Khalsa School Calgary Educational Foundation"
"55","Town Of Cochrane","Watch","RancheView School"
"56","Town Of Morinville","Watch","Four Winds Public School"
"57","Westlock County","Watch","Richard F Staples Secondary School"
"58","City Of Airdrie","Open (Outbreak, 2-4 cases)","Airdrie Francophone School"
"59","City Of Airdrie","Open (Outbreak, 2-4 cases)","Herons Crossing School"
"60","City Of Airdrie","Open (Outbreak, 2-4 cases)","George McDougall High School"
"61","City Of Brooks","Open (Outbreak, 2-4 cases)","Brooks Junior High School"
"62","City Of Calgary","Open (Outbreak, 2-4 cases)","Central Memorial High School"
"63","City Of Calgary","Open (Outbreak, 2-4 cases)","Rundle School"
"64","City Of Calgary","Open (Outbreak, 2-4 cases)","Connaught School"
"65","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Mary's High School"
"66","City Of Calgary","Open (Outbreak, 2-4 cases)","Gobind Sarvar School"
"67","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Jerome Elementary School"
"68","City Of Calgary","Open (Outbreak, 2-4 cases)","CLS Lord Beaverbrook Writing Centre"
"69","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Clare"
"70","City Of Calgary","Open (Outbreak, 2-4 cases)","Alex Ferguson School"
"71","City Of Calgary","Open (Outbreak, 2-4 cases)","West Ridge School"
"72","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Sebastian Elementary School"
"73","City Of Calgary","Open (Outbreak, 2-4 cases)","Joane Cardinal-Schubert High School"
"74","City Of Calgary","Open (Outbreak, 2-4 cases)","Ascension of Our Lord"
"75","City Of Calgary","Open (Outbreak, 2-4 cases)","Bishop Grandin High School"
"76","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Augustine Elementary Junior High School"
"77","City Of Calgary","Open (Outbreak, 2-4 cases)","Panorama Hills School"
"78","City Of Calgary","Open (Outbreak, 2-4 cases)","Jennie Elliott School"
"79","City Of Calgary","Open (Outbreak, 2-4 cases)","Westmount Mid/High School"
"80","City Of Calgary","Open (Outbreak, 2-4 cases)","FFCA High School Campus"
"81","City Of Calgary","Open (Outbreak, 2-4 cases)","Catherine Nichols Gunn School"
"82","City Of Calgary","Open (Outbreak, 2-4 cases)","Our Lady of Peace Elementary Junior High School"
"83","City Of Calgary","Open (Outbreak, 2-4 cases)","Centennial High School"
"84","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Jean Brebeuf School"
"85","City Of Calgary","Open (Outbreak, 2-4 cases)","Robert Thirsk School"
"86","City Of Calgary","Open (Outbreak, 2-4 cases)","Fairview School"
"87","City Of Calgary","Open (Outbreak, 2-4 cases)","Renfrew Educational Services-Janice McTighe Centre"
"88","City Of Calgary","Open (Outbreak, 2-4 cases)","Crescent Heights High School"
"89","City Of Calgary","Open (Outbreak, 2-4 cases)","Hillhurst School"
"90","City Of Calgary","Open (Outbreak, 2-4 cases)","Ernest Manning High School"
"91","City Of Calgary","Open (Outbreak, 2-4 cases)","James Fowler High School"
"92","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Bede Elementary School"
"93","City Of Calgary","Open (Outbreak, 2-4 cases)","St. Gerard Bilingual School"
"94","City Of Calgary","Open (Outbreak, 2-4 cases)","Mother Mary Greene School"
"95","City Of Calgary","Open (Outbreak, 2-4 cases)","Almadina Language Charter Academy Ogden Campus"
"96","City Of Edmonton","Open (Outbreak, 2-4 cases)","Holy Trinity"
"97","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Brendan School"
"98","City Of Edmonton","Open (Outbreak, 2-4 cases)","J Percy Page School"
"99","City Of Edmonton","Open (Outbreak, 2-4 cases)","Michael Strembitsky School"
"100","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. John Bosco"
"101","City Of Edmonton","Open (Outbreak, 2-4 cases)","Victoria School"
"102","City Of Edmonton","Open (Outbreak, 2-4 cases)","Scott Robertson School"
"103","City Of Edmonton","Open (Outbreak, 2-4 cases)","John A. McDougall School"
"104","City Of Edmonton","Open (Outbreak, 2-4 cases)","Al-Mustafa Academy"
"105","City Of Edmonton","Open (Outbreak, 2-4 cases)","Killarney School"
"106","City Of Edmonton","Open (Outbreak, 2-4 cases)","Sir John Thompson"
"107","City Of Edmonton","Open (Outbreak, 2-4 cases)","J. J. Bowlen"
"108","City Of Edmonton","Open (Outbreak, 2-4 cases)","Hilwie Hamdon School"
"109","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Clement"
"110","City Of Edmonton","Open (Outbreak, 2-4 cases)","John D Bracco School"
"111","City Of Edmonton","Open (Outbreak, 2-4 cases)","St. Teresa of Calcutta Elementary School"
"112","City Of Edmonton","Open (Outbreak, 2-4 cases)","Meadowlark Christian School"
"113","City Of Edmonton","Open (Outbreak, 2-4 cases)","Mary Hanley"
"114","City Of Edmonton","Open (Outbreak, 2-4 cases)","Kim Hung School"
"115","City Of Edmonton","Open (Outbreak, 2-4 cases)","A. Blair McPherson School"
"116","City Of Edmonton","Open (Outbreak, 2-4 cases)","York School"
"117","City Of Edmonton","Open (Outbreak, 2-4 cases)","Overlanders School"
"118","City Of Fort Saskatchewan","Open (Outbreak, 2-4 cases)","Fort Saskatchewan High School"
"119","City Of Grande Prairie","Open (Outbreak, 2-4 cases)","Riverstone Public School"
"120","City Of Grande Prairie","Open (Outbreak, 2-4 cases)","Peace Wapiti Academy"
"121","City Of Grande Prairie","Open (Outbreak, 2-4 cases)","Grande Prairie Christian School"
"122","City Of Grande Prairie","Open (Outbreak, 2-4 cases)","St. Joseph Catholic High School"
"123","City Of Lethbridge","Open (Outbreak, 2-4 cases)","St. Francis Junior High School"
"124","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Ecole St. Mary School"
"125","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Immanuel Christian Secondary School"
"126","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Gilbert Paterson Middle School"
"127","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Catholic Central High School"
"128","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Wilson Middle School"
"129","City Of Lethbridge","Open (Outbreak, 2-4 cases)","General Stewart School"
"130","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Senator Joyce Fairbairn Middle School"
"131","City Of Lethbridge","Open (Outbreak, 2-4 cases)","Chinook High School"
"132","City Of Medicine Hat","Open (Outbreak, 2-4 cases)","Crestwood School"
"133","City Of Spruce Grove","Open (Outbreak, 2-4 cases)","Prescott Learning Centre"
"134","City Of Spruce Grove","Open (Outbreak, 2-4 cases)","Copperhaven School"
"135","City Of St. Albert","Open (Outbreak, 2-4 cases)","Ecole La Mission"
"136","City Of St. Albert","Open (Outbreak, 2-4 cases)","Bellerose Composite High School"
"137","City Of St. Albert","Open (Outbreak, 2-4 cases)","Albert Lacombe Catholic Elementary School"
"138","City Of Wetaskiwin","Open (Outbreak, 2-4 cases)","Wetaskiwin Composite High School"
"139","County Of Grande Prairie No. 1","Open (Outbreak, 2-4 cases)","St. Mary's Catholic School"
"140","County Of Grande Prairie No. 1","Open (Outbreak, 2-4 cases)","Whispering Ridge Community School"
"141","County Of Newell","Open (Outbreak, 2-4 cases)","Bassano School"
"142","Kneehill County","Open (Outbreak, 2-4 cases)","Trochu Valley School"
"143","Kneehill County","Open (Outbreak, 2-4 cases)","Kneehill Christian School"
"144","Lamont County","Open (Outbreak, 2-4 cases)","Mundare School"
"145","Lethbridge County","Open (Outbreak, 2-4 cases)","St. Catherine's School"
