Régions;Nombre de décès
01 - Bas-Saint-Laurent;7
02 - Saguenay – Lac-Saint-Jean;35
03 - Capitale-Nationale;289
04 - Mauricie-et-Centre-du-Québec;222
05 - Estrie;37
06 - Montréal;3 518
07 - Outaouais;41
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;22
12 - Chaudière-Appalaches;64
13 - Laval;708
14 - Lanaudière;229
15 - Laurentides;299
16 - Montérégie;694
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 172
