Régions;Nombre de décès
01 - Bas-Saint-Laurent;13
02 - Saguenay – Lac-Saint-Jean;79
03 - Capitale-Nationale;386
04 - Mauricie-et-Centre-du-Québec;240
05 - Estrie;52
06 - Montréal;3 570
07 - Outaouais;65
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;33
12 - Chaudière-Appalaches;99
13 - Laval;718
14 - Lanaudière;272
15 - Laurentides;323
16 - Montérégie;794
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 651
