Régions;Nombre de décès
01 - Bas-Saint-Laurent;19
02 - Saguenay – Lac-Saint-Jean;127
03 - Capitale-Nationale;436
04 - Mauricie-et-Centre-du-Québec;273
05 - Estrie;64
06 - Montréal;3 621
07 - Outaouais;80
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;2
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;40
12 - Chaudière-Appalaches;133
13 - Laval;725
14 - Lanaudière;327
15 - Laurentides;336
16 - Montérégie;868
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;7 056
