Régions;Nombre de décès
01 - Bas-Saint-Laurent;7
02 - Saguenay – Lac-Saint-Jean;26
03 - Capitale-Nationale;255
04 - Mauricie-et-Centre-du-Québec;214
05 - Estrie;34
06 - Montréal;3 501
07 - Outaouais;34
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;1
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;21
12 - Chaudière-Appalaches;42
13 - Laval;700
14 - Lanaudière;225
15 - Laurentides;287
16 - Montérégie;653
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;1
Hors Québec;0
Région à déterminer;0
Total;6 005
