Régions;Nombre de décès
01 - Bas-Saint-Laurent;2
02 - Saguenay – Lac-Saint-Jean;26
03 - Capitale-Nationale;208
04 - Mauricie-et-Centre-du-Québec;211
05 - Estrie;31
06 - Montréal;3 478
07 - Outaouais;34
08 - Abitibi-Témiscamingue;4
09 - Côte-Nord;1
10 - Nord-du-Québec;0
11 - Gaspésie – Îles-de-la-Madeleine;11
12 - Chaudière-Appalaches;16
13 - Laval;683
14 - Lanaudière;223
15 - Laurentides;276
16 - Montérégie;617
17 - Nunavik;0
18 - Terres-Cries-de-la-Baie-James;0
Hors Québec;0
Région à déterminer;0
Total;5 821
