collected_date,reported_date,school_board,school,municipality,confirmed_student_cases,confirmed_staff_cases,confirmed_unspecified_cases,total_confirmed_cases
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Saint-François-d’Assise,Ottawa,1,0,,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Sainte-Anne,Ottawa,1,0,,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Laurier-Carrière,Ottawa,1,0,,1
2020-09-10,2020-09-11,Conseil des écoles catholiques du Centre-Est (CECCE),École intermédiaire catholique Franco-Ouest,Ottawa,1,0,,1
2020-09-10,2020-09-11,Conseil des écoles publiques de l’Est de l’Ontario,École secondaire publique De La Salle,Ottawa,0,1,,1
2020-09-10,2020-09-11,Conseil Scolaire Viamonde,École Ronald-Marion,Pickering,0,1,,1
2020-09-10,2020-09-11,Halton Catholic District School Board,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,,1
2020-09-10,2020-09-11,Halton District School Board,Oodeenawi Public School,Oakville,0,1,,1
2020-09-10,2020-09-11,Peel District School Board,North Field Office,Brampton,0,1,,1
2020-09-10,2020-09-11,Peel District School Board,Ross Drive Public School,Brampton,0,1,,1
2020-09-10,2020-09-11,Peel District School Board,Briarwood Public School,Mississauga,0,1,,1
2020-09-10,2020-09-11,Waterloo Region District School Board,Edna Staebler Public School,Waterloo,0,1,,1
2020-09-11,2020-09-14,nseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Saint-François-d’Assise,Ottawa,1,0,,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Sainte-Anne,Ottawa,1,0,,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Laurier-Carrière,Ottawa,1,0,,1
2020-09-11,2020-09-14,Conseil des écoles catholiques du Centre-Est (CECCE),École intermédiaire catholique Franco-Ouest,Ottawa,1,0,,1
2020-09-11,2020-09-14,Conseil des écoles publiques de l’Est de l’Ontario,École secondaire publique De La Salle,Ottawa,0,1,,1
2020-09-11,2020-09-14,Conseil Scolaire Viamonde,École Ronald-Marion,Pickering,0,1,,1
2020-09-11,2020-09-14,Halton Catholic District School Board,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,,1
2020-09-11,2020-09-14,Halton District School Board,Oodeenawi Public School,Oakville,0,1,,1
2020-09-11,2020-09-14,Peel District School Board,North Field Office,Brampton,0,1,,1
2020-09-11,2020-09-14,Peel District School Board,Ross Drive Public School,Brampton,0,1,,1
2020-09-11,2020-09-14,Peel District School Board,Briarwood Public School,Mississauga,0,1,,1
2020-09-11,2020-09-14,Peel District School Board,John Fraser Secondary School,Mississauga,1,0,,1
2020-09-11,2020-09-14,Renfrew County District School Board,Fellowes High School,Pembroke,0,1,,1
2020-09-11,2020-09-14,Waterloo Region District School Board,Edna Staebler Public School,Waterloo,0,1,,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Laurier-Carrière,Ottawa,1,0,0,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Marius-Barbeau,Ottawa,0,0,1,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Montfort,Ottawa,0,0,1,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Roger-Saint-Denis,Ottawa,0,1,0,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Sainte-Anne,Ottawa,1,0,0,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),École élémentaire catholique Saint-François-d’Assise,Ottawa,1,0,0,1
2020-09-14,2020-09-15,Conseil des écoles catholiques du Centre-Est (CECCE),École intermédiaire catholique Franco-Ouest,Ottawa,1,0,1,2
2020-09-14,2020-09-15,Conseil des écoles publiques de l’Est de l’Ontario,École secondaire publique De La Salle,Ottawa,0,1,0,1
2020-09-14,2020-09-15,Conseil des écoles publiques de l’Est de l’Ontario,École élémentaire publique Gabrielle-Roy,Ottawa,0,0,2,2
2020-09-14,2020-09-15,Conseil Scolaire Viamonde,École Ronald-Marion,Pickering,0,1,0,1
2020-09-14,2020-09-15,Dufferin Peel Catholic District School Board,St. Joseph Secondary School,Mississauga,1,0,0,1
2020-09-14,2020-09-15,Durham District School Board,Mapleridge Public School,Pickering,1,0,0,1
2020-09-14,2020-09-15,Halton Catholic District School Board,St. Marguerite d’Youville Catholic Elementary School,Oakville,0,1,0,1
