Date,RHA,Daily_Cases,Cumulative_Cases,Active_Cases,Recoveries,Deaths,ObjectId
2020-03-13,All,2,2,2,0,0,1
2020-03-13,Interlake-Eastern,0,0,0,0,0,2
2020-03-13,Northern,0,0,0,0,0,3
2020-03-13,Prairie Mountain Health,0,0,0,0,0,4
2020-03-13,Southern Health-Santé Sud,0,0,0,0,0,5
2020-03-13,Winnipeg,2,2,2,0,0,6
2020-03-14,All,1,3,3,0,0,7
2020-03-14,Interlake-Eastern,0,0,0,0,0,8
2020-03-14,Northern,0,0,0,0,0,9
2020-03-14,Prairie Mountain Health,0,0,0,0,0,10
2020-03-14,Southern Health-Santé Sud,0,0,0,0,0,11
2020-03-14,Winnipeg,1,3,3,0,0,12
2020-03-15,All,0,3,3,0,0,13
2020-03-15,Interlake-Eastern,0,0,0,0,0,14
2020-03-15,Northern,0,0,0,0,0,15
2020-03-15,Prairie Mountain Health,0,0,0,0,0,16
2020-03-15,Southern Health-Santé Sud,0,0,0,0,0,17
2020-03-15,Winnipeg,0,3,3,0,0,18
2020-03-16,All,3,6,6,0,0,19
2020-03-16,Interlake-Eastern,1,1,1,0,0,20
2020-03-16,Northern,0,0,0,0,0,21
2020-03-16,Prairie Mountain Health,0,0,0,0,0,22
2020-03-16,Southern Health-Santé Sud,0,0,0,0,0,23
2020-03-16,Winnipeg,2,5,5,0,0,24
2020-03-17,All,1,7,7,0,0,25
2020-03-17,Interlake-Eastern,0,1,1,0,0,26
2020-03-17,Northern,0,0,0,0,0,27
2020-03-17,Prairie Mountain Health,0,0,0,0,0,28
2020-03-17,Southern Health-Santé Sud,0,0,0,0,0,29
2020-03-17,Winnipeg,1,6,6,0,0,30
2020-03-18,All,7,14,14,0,0,31
2020-03-18,Interlake-Eastern,0,1,1,0,0,32
2020-03-18,Northern,0,0,0,0,0,33
2020-03-18,Prairie Mountain Health,0,0,0,0,0,34
2020-03-18,Southern Health-Santé Sud,2,2,2,0,0,35
2020-03-18,Winnipeg,5,11,11,0,0,36
2020-03-19,All,1,15,14,1,0,37
2020-03-19,Interlake-Eastern,0,1,1,0,0,38
2020-03-19,Northern,0,0,0,0,0,39
2020-03-19,Prairie Mountain Health,0,0,0,1,0,40
2020-03-19,Southern Health-Santé Sud,0,2,2,0,0,41
2020-03-19,Winnipeg,1,12,12,0,0,42
2020-03-20,All,1,16,15,1,0,43
2020-03-20,Interlake-Eastern,0,1,1,0,0,44
2020-03-20,Northern,0,0,0,0,0,45
2020-03-20,Prairie Mountain Health,0,0,0,1,0,46
2020-03-20,Southern Health-Santé Sud,0,2,2,0,0,47
2020-03-20,Winnipeg,1,13,13,0,0,48
2020-03-21,All,0,16,15,1,0,49
2020-03-21,Interlake-Eastern,0,1,1,0,0,50
2020-03-21,Northern,0,0,0,0,0,51
2020-03-21,Prairie Mountain Health,0,0,0,1,0,52
2020-03-21,Southern Health-Santé Sud,0,2,2,0,0,53
2020-03-21,Winnipeg,0,13,13,0,0,54
2020-03-22,All,1,17,16,1,0,55
2020-03-22,Interlake-Eastern,0,1,1,0,0,56
2020-03-22,Northern,0,0,0,0,0,57
2020-03-22,Prairie Mountain Health,0,0,0,1,0,58
2020-03-22,Southern Health-Santé Sud,0,2,2,0,0,59
2020-03-22,Winnipeg,1,14,14,0,0,60
2020-03-23,All,3,20,18,2,0,61
2020-03-23,Interlake-Eastern,0,1,1,0,0,62
2020-03-23,Northern,0,0,0,0,0,63
2020-03-23,Prairie Mountain Health,0,0,0,1,0,64
2020-03-23,Southern Health-Santé Sud,0,2,2,0,0,65
2020-03-23,Winnipeg,3,17,16,1,0,66
2020-03-24,All,1,21,19,2,0,67
2020-03-24,Interlake-Eastern,0,1,1,0,0,68
2020-03-24,Northern,0,0,0,0,0,69
2020-03-24,Prairie Mountain Health,1,1,0,1,0,70
2020-03-24,Southern Health-Santé Sud,0,2,2,0,0,71
2020-03-24,Winnipeg,0,17,16,1,0,72
2020-03-25,All,6,27,23,4,0,73
2020-03-25,Interlake-Eastern,0,1,1,0,0,74
2020-03-25,Northern,0,0,0,0,0,75
2020-03-25,Prairie Mountain Health,0,1,0,1,0,76
2020-03-25,Southern Health-Santé Sud,1,3,3,0,0,77
2020-03-25,Winnipeg,5,22,19,3,0,78
2020-03-26,All,9,36,30,5,1,79
2020-03-26,Interlake-Eastern,0,1,1,0,0,80
2020-03-26,Northern,0,0,0,0,0,81
2020-03-26,Prairie Mountain Health,2,3,2,1,0,82
2020-03-26,Southern Health-Santé Sud,1,4,4,0,0,83
2020-03-26,Winnipeg,6,28,23,4,1,84
2020-03-27,All,27,63,55,7,1,85
2020-03-27,Interlake-Eastern,0,1,1,0,0,86
2020-03-27,Northern,0,0,0,0,0,87
2020-03-27,Prairie Mountain Health,0,3,2,1,0,88
2020-03-27,Southern Health-Santé Sud,1,5,3,2,0,89
2020-03-27,Winnipeg,26,54,49,4,1,90
2020-03-28,All,10,73,63,9,1,91
2020-03-28,Interlake-Eastern,2,3,3,0,0,92
2020-03-28,Northern,0,0,0,0,0,93
2020-03-28,Prairie Mountain Health,4,7,6,1,0,94
2020-03-28,Southern Health-Santé Sud,0,5,2,3,0,95
2020-03-28,Winnipeg,4,58,52,5,1,96
2020-03-29,All,23,96,85,10,1,97
