Collected_Date,Report_Date,LCC_Name,Municipality,Confirmed_Child_Cases,Confirmed_Staff_Provider_Cases,Confirmed_Unspecified_Cases,Total_Confirmed_Cases
2020-09-10,2020-09-11,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,,1
2020-09-10,2020-09-11,Andrew Fleck Home Child Care (two locations),Ottawa,2,1,,7
2020-09-10,2020-09-11,Beacon Learning Centre,Ottawa,0,1,,1
2020-09-10,2020-09-11,Centre de l’enfant Aux 4 vents,Ottawa,0,1,,1
2020-09-10,2020-09-11,Centre des Petits d’Ottawa (2005) Inc.,Ottawa,0,1,,1
2020-09-10,2020-09-11,Centre éducatif Coeur des Jeunes Roger-Saint-Denis,Kanata,0,1,,1
2020-09-10,2020-09-11,Centrepointe Home Care Agency,Nepean,5,0,,5
2020-09-10,2020-09-11,Children’s Village of Ottawa-Carleton Home Child Care Program (two locations),Ottawa,0,0,,2
2020-09-10,2020-09-11,Esther By Child Care Centre,Ottawa,0,0,,1
2020-09-10,2020-09-11,Imaginarium For Kids,Richmond Hill,0,0,,1
2020-09-10,2020-09-11,Kids Zone Childcare Centre,Mississauga,1,1,,2
2020-09-10,2020-09-11,K-W YMCA Child Care - Edna Staebler,Waterloo,0,0,,1
2020-09-10,2020-09-11,Le Ballon Rouge Brantford,Brantford,0,1,,1
2020-09-10,2020-09-11,Matthew-John Early Learning Centre,Toronto,0,0,,1
2020-09-10,2020-09-11,McKinnon Park Child Care Centre,Caledonia,1,0,,1
2020-09-10,2020-09-11,Northwest Childhood Learning Centre Inc.,Toronto,0,0,,1
2020-09-10,2020-09-11,PLP Early Learning Centre at St. Mark (op: Park Lawn Preschool Inc.),Toronto,0,1,,1
2020-09-10,2020-09-11,Rexdale Home Child Care Agency (PHDC) (3 locations),Toronto,1,3,,7
2020-09-10,2020-09-11,Sunnyside - Keele,Toronto,1,2,,4
2020-09-10,2020-09-11,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,,1
2020-09-10,2020-09-11,Trillium School Age Program,Orleans,1,0,,1
2020-09-10,2020-09-11,Waterdown District School Age Program – Guy Brown Location,Waterdown,0,1,,1
2020-09-11,2020-09-14,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,,1
2020-09-11,2020-09-14,Andrew Fleck Home Child Care (two locations),Ottawa,2,1,,7
2020-09-11,2020-09-14,Beacon Learning Centre,Ottawa,0,1,,1
2020-09-11,2020-09-14,Centre de l’enfant Aux 4 vents,Ottawa,0,1,,1
2020-09-11,2020-09-14,Centre des Petits d’Ottawa (2005) Inc.,Ottawa,0,1,,1
2020-09-11,2020-09-14,Centre éducatif Coeur des Jeunes Roger-Saint-Denis,Kanata,0,1,,1
2020-09-11,2020-09-14,Centrepointe Home Care Agency,Nepean,5,0,,5
2020-09-11,2020-09-14,Children’s Village of Ottawa-Carleton Home Child Care Program (two locations),Ottawa,0,0,,2
2020-09-11,2020-09-14,Cumberland Hub Day Care,Orléans,1,0,,1
2020-09-11,2020-09-14,Esther By Child Care Centre,Ottawa,0,0,,1
2020-09-11,2020-09-14,Imaginarium For Kids,Richmond Hill,0,0,,1
2020-09-11,2020-09-14,Kids Zone Childcare Centre,Mississauga,1,1,,2
2020-09-11,2020-09-14,K-W YMCA Child Care - Edna Staebler,Waterloo,0,0,,1
2020-09-11,2020-09-14,Le Ballon Rouge Brantford,Brantford,0,1,,1
2020-09-11,2020-09-14,Matthew-John Early Learning Centre,Toronto,0,0,,1
2020-09-11,2020-09-14,McKinnon Park Child Care Centre,Caledonia,1,0,,1
2020-09-11,2020-09-14,Northwest Childhood Learning Centre Inc.,Toronto,0,0,,1
2020-09-11,2020-09-14,PLP Early Learning Centre at St. Mark (op: Park Lawn Preschool Inc.),Toronto,0,1,,1
2020-09-11,2020-09-14,Rexdale Home Child Care Agency (PHDC) (three locations),Toronto,1,3,,7
2020-09-11,2020-09-14,St. Veronica Children's Centre,Woodbridge,0,0,,1
2020-09-11,2020-09-14,Sunnyside - Keele,Toronto,1,2,,4
2020-09-11,2020-09-14,The Alderbuds Child Care Centre of Etobicoke,Toronto,1,0,,1
2020-09-11,2020-09-14,Trillium School Age Program,Orleans,1,0,,1
2020-09-11,2020-09-14,Waterdown District School Age Program – Guy Brown Location,Waterdown,0,1,,1
2020-09-14,2020-09-15,Agincourt Temple Day Care (Governing Council of the Salvation Army),Toronto,0,1,0,1
