date,new,NTotal_ExposureOnly,domestic-contactWithCase,domestic-contactWithTraveller,domestic-unknown,internationalTravel,infopending,cumulative,cumulativeNTotal_ExposureOnly,doubleFlagTest,shaded
2020-01-15,1,1,0,0,0,1,0,1,1,1,14
2020-01-16,2,2,1,0,0,0,1,3,3,1,
2020-01-17,0,0,0,0,0,0,0,3,3,0,
2020-01-18,0,0,0,0,0,0,0,3,3,0,
2020-01-19,0,0,0,0,0,0,0,3,3,0,
2020-01-20,0,0,0,0,0,0,0,3,3,0,
2020-01-21,1,1,0,0,0,1,0,4,4,0,
2020-01-22,2,2,0,0,0,2,0,6,6,1,
2020-01-23,0,0,0,0,0,0,0,6,6,0,
2020-01-24,2,2,1,0,0,1,0,8,8,0,
2020-01-25,0,0,0,0,0,0,0,8,8,0,
2020-01-26,1,1,1,0,0,0,0,9,9,0,
2020-01-27,1,1,1,0,0,0,0,10,10,0,
2020-01-28,1,1,0,0,0,1,0,11,11,0,
2020-01-29,0,0,0,0,0,0,0,11,11,0,
2020-01-30,0,0,0,0,0,0,0,11,11,0,
2020-01-31,1,1,0,0,1,0,0,12,12,1,
2020-02-01,2,2,0,0,1,1,0,14,14,0,
2020-02-02,2,1,0,0,0,1,0,16,15,0,
2020-02-03,1,1,0,0,1,0,0,17,16,0,
2020-02-04,2,2,0,0,2,0,0,19,18,0,
2020-02-05,2,2,0,0,1,1,0,21,20,0,
2020-02-06,0,0,0,0,0,0,0,21,20,0,
2020-02-07,1,1,1,0,0,0,0,22,21,0,
2020-02-08,0,0,0,0,0,0,0,22,21,0,
2020-02-09,1,1,0,0,0,1,0,23,22,0,
2020-02-10,2,2,0,0,1,1,0,25,24,1,
2020-02-11,1,0,0,0,0,0,0,26,24,0,
2020-02-12,1,1,0,0,1,0,0,27,25,0,
2020-02-13,1,1,0,0,0,1,0,28,26,0,
2020-02-14,4,4,0,0,2,2,0,32,30,0,
2020-02-15,2,2,1,0,0,1,0,34,32,0,
2020-02-16,1,1,0,0,0,1,0,35,33,0,
2020-02-17,2,2,1,0,0,1,0,37,35,0,
2020-02-18,2,2,2,0,0,0,0,39,37,0,
2020-02-19,3,3,1,0,1,1,0,42,40,0,
2020-02-20,7,7,3,1,1,2,0,49,47,0,
2020-02-21,2,2,0,0,0,2,0,51,49,1,
2020-02-22,5,5,0,0,2,3,0,56,54,0,
2020-02-23,16,16,7,0,2,7,0,72,70,0,
2020-02-24,14,14,3,0,2,9,0,86,84,0,
2020-02-25,15,15,3,0,2,10,0,101,99,0,
2020-02-26,12,12,6,1,3,2,0,113,111,1,
2020-02-27,25,25,13,0,7,5,0,138,136,0,
2020-02-28,35,35,19,0,5,11,0,173,171,0,
2020-02-29,27,27,9,0,4,13,1,200,198,0,
2020-03-01,49,48,13,0,15,19,1,249,246,1,
2020-03-02,47,47,8,0,11,28,0,296,293,0,
2020-03-03,53,53,17,0,8,28,0,349,346,0,
2020-03-04,51,50,16,1,8,25,0,400,396,0,
2020-03-05,63,63,14,1,17,31,0,463,459,0,
2020-03-06,83,83,18,2,22,40,1,546,542,1,
2020-03-07,89,89,17,3,27,42,0,635,631,0,
2020-03-08,131,131,33,3,35,58,2,766,762,0,
2020-03-09,224,224,69,10,56,89,0,990,986,0,
2020-03-10,260,260,65,9,64,121,1,1250,1246,1,
2020-03-11,295,295,86,10,73,121,5,1545,1541,0,
2020-03-12,388,386,107,8,119,150,2,1933,1927,0,
2020-03-13,456,452,136,10,140,165,1,2389,2379,0,
2020-03-14,466,461,101,14,161,182,3,2855,2840,1,
2020-03-15,600,597,169,11,193,220,4,3455,3437,0,
2020-03-16,832,828,270,10,290,256,2,4287,4265,0,
2020-03-17,880,876,280,17,299,274,6,5167,5141,0,
