date,new,NTotal_ExposureOnly,domestic-contactWithCase,domestic-contactWithTraveller,domestic-unknown,internationalTravel,infopending,cumulative,cumulativeNTotal_ExposureOnly,doubleFlagTest,shaded
2020-01-15,1,1,0,0,0,1,0,1,1,1,14
2020-01-16,2,2,1,0,0,0,1,3,3,1,
2020-01-17,0,0,0,0,0,0,0,3,3,0,
2020-01-18,0,0,0,0,0,0,0,3,3,0,
2020-01-19,0,0,0,0,0,0,0,3,3,0,
2020-01-20,0,0,0,0,0,0,0,3,3,0,
2020-01-21,1,1,0,0,0,1,0,4,4,0,
2020-01-22,2,2,0,0,0,2,0,6,6,1,
2020-01-23,0,0,0,0,0,0,0,6,6,0,
2020-01-24,2,2,1,0,0,1,0,8,8,0,
2020-01-25,0,0,0,0,0,0,0,8,8,0,
2020-01-26,1,1,1,0,0,0,0,9,9,0,
2020-01-27,1,1,1,0,0,0,0,10,10,0,
2020-01-28,2,2,0,0,1,1,0,12,12,1,
2020-01-29,0,0,0,0,0,0,0,12,12,0,
2020-01-30,0,0,0,0,0,0,0,12,12,0,
2020-01-31,2,1,0,0,1,0,0,14,13,0,
2020-02-01,2,2,0,0,1,1,0,16,15,0,
2020-02-02,2,1,0,0,0,1,0,18,16,0,
2020-02-03,1,1,0,0,1,0,0,19,17,0,
2020-02-04,2,2,0,0,2,0,0,21,19,0,
2020-02-05,2,2,0,0,1,1,0,23,21,0,
2020-02-06,0,0,0,0,0,0,0,23,21,0,
2020-02-07,1,1,1,0,0,0,0,24,22,1,
2020-02-08,0,0,0,0,0,0,0,24,22,0,
2020-02-09,1,1,0,0,0,1,0,25,23,0,
2020-02-10,2,2,0,0,1,1,0,27,25,0,
2020-02-11,1,0,0,0,0,0,0,28,25,0,
2020-02-12,1,1,0,0,1,0,0,29,26,0,
2020-02-13,1,1,0,0,0,1,0,30,27,0,
2020-02-14,4,4,0,0,2,2,0,34,31,0,
2020-02-15,2,2,1,0,0,1,0,36,33,0,
2020-02-16,1,1,0,0,0,1,0,37,34,0,
2020-02-17,2,2,1,0,0,1,0,39,36,0,
2020-02-18,2,2,2,0,0,0,0,41,38,0,
2020-02-19,3,3,1,0,1,1,0,44,41,0,
2020-02-20,7,7,3,1,1,2,0,51,48,1,
2020-02-21,2,2,0,0,0,2,0,53,50,0,
2020-02-22,5,5,0,0,2,3,0,58,55,0,
2020-02-23,16,16,7,0,2,7,0,74,71,0,
2020-02-24,14,14,3,0,2,9,0,88,85,0,
2020-02-25,15,15,3,0,2,10,0,103,100,1,
2020-02-26,12,12,6,1,3,2,0,115,112,0,
2020-02-27,25,25,13,0,7,5,0,140,137,0,
2020-02-28,35,35,19,0,5,11,0,175,172,0,
2020-02-29,27,27,9,0,4,13,1,202,199,0,
2020-03-01,49,48,13,0,15,19,1,251,247,1,
2020-03-02,47,47,8,0,11,28,0,298,294,0,
2020-03-03,53,53,17,0,8,28,0,351,347,0,
2020-03-04,51,50,16,1,8,25,0,402,397,0,
2020-03-05,63,63,14,1,17,31,0,465,460,0,
2020-03-06,83,83,18,2,22,40,1,548,543,1,
2020-03-07,89,89,17,3,27,42,0,637,632,0,
2020-03-08,131,131,33,3,35,58,2,768,763,0,
2020-03-09,224,224,69,10,56,89,0,992,987,0,
2020-03-10,260,260,65,9,64,121,1,1252,1247,1,
2020-03-11,295,295,86,10,73,121,5,1547,1542,0,
2020-03-12,388,386,107,8,119,150,2,1935,1928,0,
2020-03-13,456,452,136,10,140,165,1,2391,2380,0,
2020-03-14,466,461,101,14,161,182,3,2857,2841,1,
2020-03-15,600,597,169,11,193,220,4,3457,3438,0,
2020-03-16,832,828,270,10,290,256,2,4289,4266,0,
2020-03-17,880,876,280,17,299,274,6,5169,5142,0,
