date,0-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,new,cumulative-n-age,shaded
2020-01-15,0,0,1,0,0,0,0,0,1,1,14
2020-01-16,0,0,0,0,0,0,0,0,0,1,
2020-01-17,0,0,0,0,0,0,0,0,0,1,
2020-01-18,0,0,0,0,0,0,0,0,0,1,
2020-01-19,0,0,0,0,0,0,0,0,0,1,
2020-01-20,0,0,0,0,0,0,0,0,0,1,
2020-01-21,0,0,0,0,1,0,0,0,1,2,
2020-01-22,0,0,0,1,1,0,0,0,2,4,
2020-01-23,0,0,0,0,0,0,0,0,0,4,
2020-01-24,0,2,0,0,0,0,0,0,2,6,
2020-01-25,0,0,0,0,0,0,0,0,0,6,
2020-01-26,0,0,0,0,0,0,0,0,0,6,
2020-01-27,0,0,0,0,1,0,0,0,1,7,
2020-01-28,0,1,0,0,0,0,0,0,1,8,
2020-01-29,0,0,0,0,0,0,0,0,0,8,
2020-01-30,0,0,0,0,0,0,0,0,0,8,
2020-01-31,0,0,1,0,0,0,0,0,1,9,
2020-02-01,0,0,0,0,1,1,0,0,2,11,
2020-02-02,0,0,0,0,0,0,0,0,0,11,
2020-02-03,0,0,0,0,1,0,0,0,1,12,
2020-02-04,0,0,0,0,0,0,0,2,2,14,
2020-02-05,0,2,0,0,0,0,0,0,2,16,
2020-02-06,0,0,0,0,0,0,0,0,0,16,
2020-02-07,1,0,0,0,0,0,0,0,1,17,
2020-02-08,0,0,0,0,0,0,0,0,0,17,
2020-02-09,0,0,1,0,0,0,0,0,1,18,
2020-02-10,0,0,0,0,0,2,0,0,2,20,
2020-02-11,0,0,0,0,0,0,0,0,0,20,
2020-02-12,0,0,0,0,1,0,0,0,1,21,
2020-02-13,0,0,0,1,0,0,0,0,1,22,
2020-02-14,0,0,2,0,0,1,1,0,4,26,
2020-02-15,1,0,0,1,0,0,0,0,2,28,
2020-02-16,0,0,0,0,0,1,0,0,1,29,
2020-02-17,0,1,0,0,0,1,0,0,2,31,
2020-02-18,0,0,0,1,0,0,0,1,2,33,
2020-02-19,0,1,0,2,0,0,0,0,3,36,
2020-02-20,0,0,2,0,1,1,2,1,7,43,
2020-02-21,0,0,0,1,0,1,0,0,2,45,
2020-02-22,0,0,0,1,1,0,3,0,5,50,
2020-02-23,2,3,1,2,3,4,1,0,16,66,
2020-02-24,1,0,3,1,5,1,3,0,14,80,
2020-02-25,1,1,1,1,3,7,1,0,15,95,
2020-02-26,2,1,1,3,1,4,0,0,12,107,
2020-02-27,1,3,5,2,7,4,1,2,25,132,
2020-02-28,0,1,4,3,5,8,2,12,35,167,
2020-02-29,0,3,3,5,5,7,1,3,27,194,
2020-03-01,0,2,9,7,8,8,7,6,47,241,
2020-03-02,4,3,12,7,9,6,5,2,48,289,
2020-03-03,0,4,7,4,11,17,6,4,53,342,
2020-03-04,3,5,4,8,11,11,6,2,50,392,
2020-03-05,1,6,12,9,12,13,6,4,63,455,
2020-03-06,4,8,15,11,13,15,8,9,83,538,
2020-03-07,6,11,10,16,24,13,5,5,90,628,
2020-03-08,4,14,20,27,34,20,8,4,131,759,
2020-03-09,8,30,38,39,54,32,18,5,224,983,
2020-03-10,12,23,45,37,56,50,23,11,257,1240,
2020-03-11,12,45,50,63,51,38,27,10,296,1536,
2020-03-12,12,52,75,75,74,44,37,14,383,1919,
2020-03-13,28,57,65,90,83,74,42,17,456,2375,
