date,0-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,new,cumulative-n-age,shaded
2020-01-15,0,0,1,0,0,0,0,0,1,1,14
2020-01-16,1,0,0,0,1,0,0,0,2,3,
2020-01-17,0,0,0,0,0,0,0,0,0,3,
2020-01-18,0,0,0,0,0,0,0,0,0,3,
2020-01-19,0,0,0,0,0,0,0,0,0,3,
2020-01-20,0,0,0,0,0,0,0,0,0,3,
2020-01-21,0,0,0,0,1,0,0,0,1,4,
2020-01-22,0,0,0,1,1,0,0,0,2,6,
2020-01-23,0,0,0,0,0,0,0,0,0,6,
2020-01-24,0,2,0,0,0,0,0,0,2,8,
2020-01-25,0,0,0,0,0,0,0,0,0,8,
2020-01-26,0,1,0,0,0,0,0,0,1,9,
2020-01-27,0,0,0,0,1,0,0,0,1,10,
2020-01-28,0,1,0,1,0,0,0,0,2,12,
2020-01-29,0,0,0,0,0,0,0,0,0,12,
2020-01-30,0,0,0,0,0,0,0,0,0,12,
2020-01-31,0,0,1,0,0,0,0,0,1,13,
2020-02-01,0,0,0,0,1,1,0,0,2,15,
2020-02-02,0,1,1,0,0,0,0,0,2,17,
2020-02-03,0,0,0,0,1,0,0,0,1,18,
2020-02-04,0,0,0,0,0,0,0,2,2,20,
2020-02-05,0,2,0,0,0,0,0,0,2,22,
2020-02-06,0,0,0,0,0,0,0,0,0,22,
2020-02-07,1,0,0,0,0,0,0,0,1,23,
2020-02-08,0,0,0,0,0,0,0,0,0,23,
2020-02-09,0,0,1,0,0,0,0,0,1,24,
2020-02-10,0,0,0,0,0,2,0,0,2,26,
2020-02-11,0,0,0,0,0,0,0,1,1,27,
2020-02-12,0,0,0,0,1,0,0,0,1,28,
2020-02-13,0,0,0,1,0,0,0,0,1,29,
2020-02-14,0,0,2,0,0,1,1,0,4,33,
2020-02-15,1,0,0,1,0,0,0,0,2,35,
2020-02-16,0,0,0,0,0,1,0,0,1,36,
2020-02-17,0,1,0,0,0,1,0,0,2,38,
2020-02-18,0,0,0,1,0,0,0,1,2,40,
2020-02-19,0,1,0,2,0,0,0,0,3,43,
2020-02-20,0,0,2,0,1,1,2,1,7,50,
2020-02-21,0,0,0,1,0,1,0,0,2,52,
2020-02-22,0,0,0,1,1,0,3,0,5,57,
2020-02-23,2,3,1,2,3,4,1,0,16,73,
2020-02-24,1,0,3,1,5,1,3,0,14,87,
2020-02-25,1,1,1,1,3,7,1,0,15,102,
2020-02-26,2,1,1,3,1,4,0,0,12,114,
2020-02-27,1,3,5,2,7,4,1,2,25,139,
2020-02-28,0,1,4,3,5,8,2,12,35,174,
2020-02-29,0,3,3,5,5,7,1,3,27,201,
2020-03-01,1,2,9,7,8,9,7,6,49,250,
2020-03-02,4,3,12,7,9,5,5,2,47,297,
2020-03-03,0,4,7,4,11,17,6,4,53,350,
2020-03-04,3,5,4,8,12,11,6,2,51,401,
2020-03-05,1,6,12,9,12,13,6,4,63,464,
2020-03-06,4,8,15,11,13,15,8,9,83,547,
2020-03-07,6,11,9,16,24,13,5,5,89,636,
2020-03-08,4,14,19,28,34,20,8,4,131,767,
2020-03-09,8,30,38,39,53,33,18,5,224,991,
2020-03-10,13,23,46,38,56,50,22,12,260,1251,
2020-03-11,12,46,49,62,51,38,27,10,295,1546,
2020-03-12,11,53,75,77,76,44,38,14,388,1934,
2020-03-13,29,58,66,89,81,75,41,17,456,2390,
2020-03-14,23,51,61,77,104,82,50,18,466,2856,
2020-03-15,23,76,108,99,115,90,53,36,600,3456,
2020-03-16,38,123,141,154,158,132,58,27,831,4287,
2020-03-17,43,111,160,157,175,119,70,44,879,5166,
2020-03-18,48,151,146,167,173,133,85,45,948,6114,
2020-03-19,42,127,117,142,139,133,73,34,807,6921,
2020-03-20,53,153,162,157,189,177,69,61,1021,7942,
2020-03-21,53,132,151,136,151,132,79,49,883,8825,
2020-03-22,51,133,122,145,170,131,56,59,867,9692,
2020-03-23,57,161,173,163,193,146,82,89,1064,10756,
2020-03-24,61,153,133,152,167,133,83,71,953,11709,
2020-03-25,59,142,136,164,167,119,76,106,969,12678,
2020-03-26,55,111,117,145,184,127,73,98,910,13588,
2020-03-27,45,145,114,163,170,128,76,104,945,14533,
2020-03-28,49,119,137,163,163,115,85,118,949,15482,
2020-03-29,49,113,115,140,149,102,82,110,860,16342,
2020-03-30,58,129,147,212,186,124,91,187,1134,17476,
2020-03-31,43,124,122,167,142,114,91,162,965,18441,
2020-04-01,79,136,171,185,219,155,124,216,1285,19726,
2020-04-02,68,118,135,224,174,113,86,243,1161,20887,
2020-04-03,66,132,161,224,206,143,114,281,1327,22214,
2020-04-04,57,119,152,182,209,104,96,227,1146,23360,
2020-04-05,44,139,133,178,150,106,81,237,1068,24428,
2020-04-06,77,162,196,233,222,136,104,270,1400,25828,
2020-04-07,63,131,163,208,220,114,109,265,1273,27101,
2020-04-08,93,140,192,227,222,112,95,328,1409,28510,
2020-04-09,77,127,190,258,223,131,116,338,1460,29970,
2020-04-10,85,201,221,271,251,161,124,426,1740,31710,
2020-04-11,70,154,187,246,243,148,104,472,1624,33334,
2020-04-12,89,175,196,243,209,131,109,325,1477,34811,
2020-04-13,93,214,233,299,299,192,145,562,2037,36848,
2020-04-14,84,196,229,261,241,160,138,472,1781,38629,
2020-04-15,112,220,237,249,246,172,162,470,1868,40497,
2020-04-16,124,178,208,255,208,184,157,626,1940,42437,
2020-04-17,106,202,230,295,261,154,153,468,1869,44306,
2020-04-18,97,196,206,215,275,150,148,377,1664,45970,
2020-04-19,72,135,171,207,199,96,92,306,1278,47248,
2020-04-20,91,238,229,277,261,171,134,388,1789,49037,
2020-04-21,75,151,201,219,205,127,105,356,1439,50476,
2020-04-22,92,168,193,219,233,125,129,389,1548,52024,
2020-04-23,93,192,209,207,225,163,118,368,1575,53599,
2020-04-24,91,178,239,242,228,119,117,296,1510,55109,
2020-04-25,104,185,181,228,192,129,97,284,1400,56509,
2020-04-26,114,206,196,205,189,117,89,234,1350,57859,
2020-04-27,110,202,215,242,257,160,150,338,1674,59533,
2020-04-28,116,180,215,230,186,150,123,329,1529,61062,
2020-04-29,88,190,202,206,192,142,128,344,1492,62554,
2020-04-30,84,177,178,187,239,139,119,318,1441,63995,
2020-05-01,88,213,239,268,250,118,102,314,1592,65587,
2020-05-02,89,152,160,168,181,80,69,175,1074,66661,
2020-05-03,97,145,141,167,144,94,76,181,1045,67706,
2020-05-04,86,180,152,208,208,109,98,284,1325,69031,
2020-05-05,88,158,156,163,195,82,119,294,1255,70286,
2020-05-06,95,132,149,154,177,102,88,193,1090,71376,
2020-05-07,80,166,148,149,182,111,73,214,1123,72499,
2020-05-08,84,156,183,162,189,86,81,206,1147,73646,
2020-05-09,71,136,129,158,174,97,88,187,1040,74686,
2020-05-10,77,139,137,133,139,89,84,188,986,75672,
2020-05-11,98,184,177,162,187,104,84,228,1224,76896,
2020-05-12,99,174,129,138,161,102,91,204,1098,77994,
2020-05-13,78,144,160,137,172,107,73,216,1087,79081,
2020-05-14,111,154,154,153,146,120,81,255,1174,80255,
2020-05-15,93,181,178,182,174,136,85,251,1280,81535,
2020-05-16,86,146,135,156,181,98,61,121,984,82519,
2020-05-17,78,142,148,148,136,81,56,129,918,83437,
2020-05-18,110,165,157,155,143,85,84,179,1078,84515,
2020-05-19,89,153,131,147,147,72,56,148,943,85458,
2020-05-20,103,179,123,171,141,102,70,203,1092,86550,
2020-05-21,92,152,119,126,116,74,46,130,855,87405,
2020-05-22,87,136,130,138,131,68,59,100,849,88254,
2020-05-23,79,134,95,124,110,66,28,78,714,88968,
2020-05-24,70,98,83,107,106,66,36,80,646,89614,
2020-05-25,89,146,127,119,117,76,52,104,830,90444,
2020-05-26,73,115,119,114,89,74,52,90,726,91170,
2020-05-27,60,111,101,97,107,60,47,110,693,91863,
2020-05-28,57,98,86,83,90,49,39,85,587,92450,
2020-05-29,59,104,108,128,90,68,44,91,692,93142,
2020-05-30,57,114,105,94,69,44,26,39,548,93690,
2020-05-31,64,98,92,64,75,32,25,33,483,94173,
2020-06-01,60,119,107,78,84,44,37,82,611,94784,
2020-06-02,49,96,90,64,75,51,21,49,495,95279,
2020-06-03,83,105,88,71,48,45,19,50,509,95788,
2020-06-04,65,88,57,54,55,42,31,42,434,96222,
2020-06-05,55,98,51,78,61,36,26,25,430,96652,
2020-06-06,46,78,65,49,48,39,23,39,387,97039,
2020-06-07,50,70,60,43,39,24,19,20,325,97364,
2020-06-08,52,76,63,61,49,28,29,37,395,97759,
2020-06-09,46,83,65,42,41,37,26,19,359,98118,
2020-06-10,47,87,71,67,59,35,21,34,421,98539,
2020-06-11,50,67,54,52,55,29,26,30,363,98902,
2020-06-12,55,76,61,49,63,24,24,19,371,99273,
2020-06-13,37,67,50,32,31,17,12,28,274,99547,
2020-06-14,34,81,46,42,39,29,16,17,304,99851,
2020-06-15,57,82,56,55,56,37,19,26,388,100239,
2020-06-16,48,79,59,58,37,36,18,19,354,100593,
2020-06-17,43,85,55,43,44,34,16,26,346,100939,
2020-06-18,31,78,51,48,36,29,14,22,309,101248,
2020-06-19,44,74,58,41,52,26,14,19,328,101576,
2020-06-20,39,63,48,43,42,22,10,17,284,101860,
2020-06-21,30,61,60,35,30,23,15,21,275,102135,
2020-06-22,43,70,61,42,57,27,17,17,334,102469,
2020-06-23,46,67,58,51,46,20,15,14,317,102786,
2020-06-24,40,64,46,36,39,18,15,20,278,103064,
2020-06-25,39,120,69,61,37,23,18,21,388,103452,
2020-06-26,47,60,48,25,31,25,8,19,263,103715,
2020-06-27,42,57,53,29,39,21,13,15,269,103984,
2020-06-28,37,72,55,40,27,17,12,13,273,104257,
2020-06-29,56,57,61,42,38,29,12,21,316,104573,
2020-06-30,45,64,50,47,35,19,19,14,293,104866,
2020-07-01,45,50,39,51,37,27,7,19,275,105141,
2020-07-02,37,49,36,46,33,32,9,15,257,105398,
2020-07-03,40,75,45,29,44,27,11,15,286,105684,
2020-07-04,56,61,35,41,31,37,14,13,288,105972,
2020-07-05,60,62,41,31,34,24,12,9,273,106245,
2020-07-06,63,126,99,57,42,35,30,22,474,106719,
2020-07-07,69,113,69,53,44,36,12,24,420,107139,
2020-07-08,66,109,77,49,51,42,16,19,429,107568,
2020-07-09,64,96,71,59,55,24,11,17,397,107965,
2020-07-10,71,68,62,58,65,36,18,17,395,108360,
2020-07-11,52,122,64,34,32,33,15,17,369,108729,
2020-07-12,32,149,75,37,42,25,11,13,384,109113,
2020-07-13,72,180,111,65,73,49,21,27,598,109711,
2020-07-14,64,179,96,77,57,39,15,12,539,110250,
2020-07-15,57,173,101,83,65,35,13,21,548,110798,
2020-07-16,57,149,67,61,50,24,16,26,450,111248,
2020-07-17,68,128,97,59,62,36,13,18,481,111729,
2020-07-18,61,115,61,48,56,27,14,14,396,112125,
2020-07-19,61,104,46,55,46,33,18,15,378,112503,
2020-07-20,81,138,86,75,65,31,24,20,520,113023,
2020-07-21,89,151,78,59,41,31,12,22,483,113506,
2020-07-22,87,130,77,41,46,26,16,20,443,113949,
2020-07-23,86,94,62,48,47,32,19,14,402,114351,
2020-07-24,83,85,71,59,51,34,21,9,413,114764,
2020-07-25,51,76,57,39,39,24,13,5,304,115068,
2020-07-26,74,71,62,42,37,22,11,7,326,115394,
2020-07-27,78,141,81,47,47,30,17,18,459,115853,
2020-07-28,67,94,66,56,47,32,13,21,396,116249,
2020-07-29,75,95,79,55,37,15,12,9,377,116626,
2020-07-30,49,95,63,43,43,25,5,7,330,116956,
2020-07-31,55,69,60,49,33,22,16,11,315,117271,
2020-08-01,57,100,52,43,30,19,12,8,321,117592,
2020-08-02,60,88,59,37,35,26,9,9,323,117915,
2020-08-03,79,110,83,48,54,28,12,9,423,118338,
2020-08-04,64,109,72,56,60,25,13,11,410,118748,
2020-08-05,59,94,72,60,38,23,17,3,366,119114,
2020-08-06,49,91,68,50,41,23,12,15,349,119463,
2020-08-07,64,92,82,48,41,21,15,10,373,119836,
2020-08-08,52,74,69,48,37,17,15,7,319,120155,
2020-08-09,44,96,60,35,30,22,12,6,305,120460,
2020-08-10,68,103,95,52,38,31,21,17,425,120885,
2020-08-11,66,125,78,42,50,40,25,13,439,121324,
2020-08-12,60,86,63,53,46,26,18,7,359,121683,
2020-08-13,90,102,64,53,37,14,14,10,384,122067,
2020-08-14,43,94,66,55,43,24,12,10,347,122414,
2020-08-15,55,83,64,57,40,21,20,9,349,122763,
2020-08-16,47,93,71,50,49,30,12,15,367,123130,
2020-08-17,74,146,88,71,46,29,20,14,488,123618,
2020-08-18,79,107,73,55,37,17,18,10,396,124014,
2020-08-19,83,98,66,53,45,27,28,17,417,124431,
2020-08-20,78,89,83,54,51,22,27,10,414,124845,
2020-08-21,67,95,73,66,25,40,17,9,392,125237,
2020-08-22,73,101,58,65,41,32,10,13,393,125630,
2020-08-23,53,92,69,62,47,32,13,15,383,126013,
2020-08-24,111,119,85,70,67,43,25,14,534,126547,
2020-08-25,105,148,103,80,55,43,24,17,575,127122,
2020-08-26,92,124,98,88,62,40,18,12,534,127656,
2020-08-27,64,93,80,81,58,28,24,20,448,128104,
2020-08-28,119,114,81,82,47,51,29,12,535,128639,
2020-08-29,63,100,82,58,58,35,18,9,423,129062,
2020-08-30,83,121,115,60,61,42,27,6,515,129577,
2020-08-31,119,153,97,86,78,39,22,18,612,130189,
2020-09-01,134,179,132,94,79,46,28,24,716,130905,
2020-09-02,113,179,132,85,79,46,22,18,674,131579,
2020-09-03,125,152,104,86,61,38,28,14,608,132187,
2020-09-04,138,173,127,97,53,46,33,20,687,132874,
2020-09-05,131,155,103,85,55,40,33,41,643,133517,
2020-09-06,121,190,112,85,71,41,12,24,656,134173,
2020-09-07,130,229,124,115,80,52,21,19,770,134943,
2020-09-08,163,258,151,105,115,74,42,22,930,135873,
2020-09-09,188,260,155,138,89,62,25,25,942,136815,
2020-09-10,167,264,145,124,90,61,31,18,900,137715,
2020-09-11,163,243,161,113,97,62,35,24,898,138613,
2020-09-12,183,263,158,115,105,70,35,35,964,139577,
2020-09-13,166,262,165,119,99,72,24,33,940,140517,
2020-09-14,237,324,226,154,126,76,43,19,1205,141722,
2020-09-15,246,415,195,167,116,84,39,36,1298,143020,
2020-09-16,244,380,182,162,148,85,43,46,1290,144310,
2020-09-17,272,301,197,160,143,72,49,32,1226,145536,
2020-09-18,316,329,201,188,160,70,42,46,1352,146888,
2020-09-19,253,296,221,185,123,78,52,30,1238,148126,
2020-09-20,250,302,223,157,154,91,51,36,1264,149390,
2020-09-21,325,426,303,245,209,129,58,56,1751,151141,
2020-09-22,312,446,319,238,216,140,74,51,1796,152937,
2020-09-23,331,442,311,242,225,137,63,64,1815,154752,
2020-09-24,323,423,334,288,222,142,57,70,1859,156611,
2020-09-25,370,477,322,256,255,156,91,79,2006,158617,
2020-09-26,320,403,290,274,228,135,62,76,1788,160405,
2020-09-27,334,406,324,280,239,152,86,73,1894,162299,
2020-09-28,412,543,396,318,280,173,84,149,2355,164654,
2020-09-29,369,537,368,307,261,157,105,94,2198,166852,
2020-09-30,367,499,395,308,272,175,71,113,2200,169052,
2020-10-01,394,434,330,292,277,187,89,74,2077,171129,
2020-10-02,366,389,351,324,269,183,100,92,2074,173203,
2020-10-03,309,404,298,279,228,154,56,52,1780,174983,
2020-10-04,358,402,319,270,232,141,82,50,1854,176837,
2020-10-05,408,493,395,329,303,195,113,92,2328,179165,
2020-10-06,379,465,364,331,286,186,85,116,2212,181377,
2020-10-07,388,427,364,297,277,158,118,140,2169,183546,
